id_offshore,geometry,composite_date,label,structure_id,latest_flag,composite_datetime_utc,composite_month_utc,longitude,latitude
2130,POINT (5.883115 54.03504),1641000000000,wind,318979,Y,2022-01-01 00:00:00,2022-01,5.883115,54.03504
2194,POINT (16.257323 56.373209),1641000000000,unknown,537872,Y,2022-01-01 00:00:00,2022-01,16.257323,56.373209
2283,POINT (-3.620851 53.423357),1641000000000,wind,391762,Y,2022-01-01 00:00:00,2022-01,-3.620851,53.423357
2286,POINT (17.034708 58.615881),1630450000000,unknown,163153,Y,2021-09-01 00:00:00,2021-09,17.034708,58.615881
2363,POINT (17.569605 69.480282),1641000000000,unknown,366675,Y,2022-01-01 00:00:00,2022-01,17.569605,69.480282
2393,POINT (5.888863 54.032556),1638320000000,wind,163155,Y,2021-12-01 00:00:00,2021-12,5.888863,54.032556
2478,POINT (5.893858 54.015131),1641000000000,wind,206605,Y,2022-01-01 00:00:00,2022-01,5.893858,54.015131
2516,POINT (-3.626145 54.058244),1641000000000,wind,435991,Y,2022-01-01 00:00:00,2022-01,-3.626145,54.058244
2523,POINT (-3.626199 54.100802),1641000000000,wind,395937,Y,2022-01-01 00:00:00,2022-01,-3.626199,54.100802
2530,POINT (5.898502 54.010284),1641000000000,wind,52727,Y,2022-01-01 00:00:00,2022-01,5.898502,54.010284
2584,POINT (-3.626554 53.440087),1641000000000,wind,466702,Y,2022-01-01 00:00:00,2022-01,-3.626554,53.440087
2587,POINT (18.143332 57.036729),1641000000000,unknown,241529,Y,2022-01-01 00:00:00,2022-01,18.143332,57.036729
2612,POINT (-0.243403 50.702537),1641000000000,wind,437044,Y,2022-01-01 00:00:00,2022-01,-0.243403,50.702537
2616,POINT (-0.24353 50.670013),1641000000000,wind,229505,Y,2022-01-01 00:00:00,2022-01,-0.24353,50.670013
2656,POINT (18.154392 57.037417),1641000000000,unknown,300026,Y,2022-01-01 00:00:00,2022-01,18.154392,57.037417
2693,POINT (11.200116 56.676284),1641000000000,wind,421558,Y,2022-01-01 00:00:00,2022-01,11.200116,56.676284
2703,POINT (-0.251327 50.665425),1641000000000,wind,236657,Y,2022-01-01 00:00:00,2022-01,-0.251327,50.665425
2718,POINT (18.849866 60.496046),1641000000000,unknown,533371,Y,2022-01-01 00:00:00,2022-01,18.849866,60.496046
