id_obs,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
11,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542845,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo marmorata,,SPECIES,"Torpedo marmorata Risso, 1810","Torpedo marmorata Risso, 1810","Risso, 1810",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.53,-0.16,707,,,,,,2012-07-12,12,7,2012,5215518,5215518,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542845,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:03.106Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
12,4040520000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2087676,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo marmorata,,SPECIES,"Torpedo marmorata Risso, 1810","Torpedo marmorata Risso, 1810","Risso, 1810",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,39.33,-0.28,707,,,,,,2017-10-24,24,10,2017,5215518,5215518,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2087676,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:38.456Z,,GEODETIC_DATUM_ASSUMED_WGS84
13,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542735,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Scyliorhinus canicula,,SPECIES,"Scyliorhinus canicula (Linnaeus, 1758)","Scyliorhinus canicula (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.33,-0.4,707,,,,,,2012-05-08,8,5,2012,2418684,2418684,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542735,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:13.198Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
14,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542951,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo torpedo,,SPECIES,"Torpedo torpedo (Linnaeus, 1758)","Torpedo torpedo (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.54,-0.07,707,,,,,,2012-07-12,12,7,2012,5215534,5215534,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542951,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:03.054Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
15,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542739,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Scyliorhinus canicula,,SPECIES,"Scyliorhinus canicula (Linnaeus, 1758)","Scyliorhinus canicula (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.38,-0.34,707,,,,,,2012-09-25,25,9,2012,2418684,2418684,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542739,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:13.083Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH
16,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542731,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Scyliorhinus canicula,,SPECIES,"Scyliorhinus canicula (Linnaeus, 1758)","Scyliorhinus canicula (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.14,-0.55,707,,,,,,2012-09-22,22,9,2012,2418684,2418684,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542731,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:03.100Z,,GEODETIC_DATUM_ASSUMED_WGS84
17,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542849,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo marmorata,,SPECIES,"Torpedo marmorata Risso, 1810","Torpedo marmorata Risso, 1810","Risso, 1810",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.59,-0.05,707,,,,,,2012-07-11,11,7,2012,5215518,5215518,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542849,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:03.101Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
18,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542797,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis aquila,,SPECIES,"Myliobatis aquila (Linnaeus, 1758)","Myliobatis aquila (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.58,-0.04,707,,,,,,2012-07-11,11,7,2012,2419310,2419310,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542797,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:03Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
19,1501410000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1542841,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Torpedo marmorata,,SPECIES,"Torpedo marmorata Risso, 1810","Torpedo marmorata Risso, 1810","Risso, 1810",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.41,-0.39,707,,,,,,2012-09-25,25,9,2012,5215518,5215518,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1542841,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:03.001Z,,GEODETIC_DATUM_ASSUMED_WGS84
20,4041070000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2686028,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis aquila,,SPECIES,"Myliobatis aquila (Linnaeus, 1758)","Myliobatis aquila (Linnaeus, 1758)","(Linnaeus, 1758)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.33,-0.47,707,,,,,,2022,,,2022,2419310,2419310,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2686028,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:39.869Z,,GEODETIC_DATUM_ASSUMED_WGS84
