id_obs,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
948,4988530000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2829051,Animalia,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Calliactis,Calliactis palliata,,SPECIES,"Calliactis palliata (Fabricius, 1779)","Calliactis palliata (Müller, 1776)","(Müller, 1776)",ES,Parc Natural de l'Albufera,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,39.37,-0.3,707,,,,,,2017-10-03,3,10,2017,12192601,12192601,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2829051,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:57.789Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
949,4040540000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2100943,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia sulcata,,SPECIES,"Anemonia sulcata (Pennant, 1777)","Anemonia sulcata Forskål, 1775","Forskål, 1775",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.88,0.08,707,,,,,,2018-05-22,22,5,2018,2256631,2256631,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2100943,,J. Tena Medialdea;L. Pascual Real,,CC_BY_NC_4_0,,J. Tena Medialdea;L. Pascual Real,,native,2026-03-03T21:34:46.296Z,,GEODETIC_DATUM_ASSUMED_WGS84
950,1501420000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1547180,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Tridentata,Tridentata perpusilla,,SPECIES,"Tridentata perpusilla (Stechow, 1919)","Tridentata perpusilla (Stechow, 1919)","(Stechow, 1919)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.22,-0.49,707,,,,,,2012-09-22,22,9,2012,11360452,11360452,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1547180,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:34.868Z,,GEODETIC_DATUM_ASSUMED_WGS84
951,1501960000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:943364,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Tridentata,Tridentata perpusilla,,SPECIES,"Tridentata perpusilla (Stechow, 1919)","Tridentata perpusilla (Stechow, 1919)","(Stechow, 1919)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.41,-0.38,707,,,,,,2011-05-11,11,5,2011,11360452,11360452,HUMAN_OBSERVATION,BDBCV,BDBCV-General,943364,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:53.070Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
952,4040950000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2281138,Animalia,Cnidaria,Anthozoa,Zoantharia,Parazoanthidae,Parazoanthus,Parazoanthus axinellae,,SPECIES,"Parazoanthus axinellae (Schmidt, 1862)",Parazoanthus axinellae,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.9,0.09,707,,,,,,2019-06,,6,2019,2258030,2258030,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2281138,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:47.404Z,,GEODETIC_DATUM_ASSUMED_WGS84
953,1501710000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1856407,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia sulcata,,SPECIES,"Anemonia sulcata (Pennant, 1777)","Anemonia sulcata Forskål, 1775","Forskål, 1775",ES,Llomes de Reixes,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.45,-0.35,707,,,,,,2015-07-10,10,7,2015,2256631,2256631,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1856407,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:54.851Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
954,1501600000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1746156,Animalia,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Monotheca,Monotheca obliqua,,SPECIES,"Plumularia obliqua (Johnston, 1847)","Plumularia obliqua (Thompson, 1844)","(Thompson, 1844)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.22,-0.49,707,,,,,,2014-09-08,8,9,2014,2266999,5185801,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1746156,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:45.633Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
955,4040470000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2001386,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Tridentata,Tridentata perpusilla,,SPECIES,"Tridentata perpusilla (Stechow, 1919)","Tridentata perpusilla (Stechow, 1919)","(Stechow, 1919)",ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.52,-0.16,707,,,,,,2016-10-06,6,10,2016,11360452,11360452,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2001386,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:46.240Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
956,1501580000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1717972,Animalia,Cnidaria,Anthozoa,Zoantharia,Parazoanthidae,Parazoanthus,Parazoanthus axinellae,,SPECIES,"Parazoanthus axinellae (Schmidt, 1862)",Parazoanthus axinellae,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.84,0.16,707,,,,,,2013-08-22,22,8,2013,2258030,2258030,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1717972,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:35.060Z,,GEODETIC_DATUM_ASSUMED_WGS84
957,4040810000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:2063737,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Pelagia,Pelagia noctiluca,,SPECIES,"Pelagia noctiluca (Forsskål, 1775)",Pelagia noctiluca,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,39.76,-0.16,707,,,,,,2017-07-06,6,7,2017,2264423,2264423,HUMAN_OBSERVATION,BDBCV,BDBCV-General,2063737,,Ayuntamiento de Xilxes,,CC_BY_NC_4_0,,Ayuntamiento de Xilxes,,native,2026-03-03T21:34:55.045Z,,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
958,1501610000,95e635d4-f762-11e1-a439-00145eb45e9a,BDBCV:BDBCV-General:1749162,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia pluma,,SPECIES,"Aglaophenia pluma (Linnaeus, 1758)",Aglaophenia pluma,,ES,,Mar,PRESENT,,ebda1cab-dda8-418b-8f25-df1e71ff5bc2,38.17,-0.46,707,,,,,,2014-07-15,15,7,2014,2267393,2267393,HUMAN_OBSERVATION,BDBCV,BDBCV-General,1749162,,Institut Ecologia Litoral (IEL),,CC_BY_NC_4_0,,Institut Ecologia Litoral (IEL),,native,2026-03-03T21:34:45.638Z,,GEODETIC_DATUM_ASSUMED_WGS84
