"phylum","nb_observations","minimum","maximum","moyenne","ecart_type"
Cnidaria,3901,0.0017,1.0302,0.2519,0.1699
Chordata,500,0.0240,0.7684,0.3568,0.1985
Arthropoda,455372,0.0000,16.8679,0.7837,1.4004
