"distance_port_min","distance_infra_min","phylum"
17.022826,0.992355,Arthropoda
2.816581,0.215252,Arthropoda
7.951650,0.163705,Arthropoda
14.476112,0.057940,Arthropoda
0.783542,0.290671,Arthropoda
27.826370,1.245743,Arthropoda
9.424593,0.098612,Arthropoda
14.689710,0.055257,Arthropoda
27.435360,2.126555,Arthropoda
8.713124,0.815230,Arthropoda
9.838782,0.118860,Arthropoda
9.930780,0.120593,Arthropoda
23.907165,0.704837,Arthropoda
7.742623,0.002294,Arthropoda
10.421175,0.252562,Arthropoda
7.286108,0.721045,Arthropoda
0.584768,0.461449,Arthropoda
27.140031,1.387088,Arthropoda
8.097316,0.052539,Arthropoda
9.451170,0.049220,Arthropoda
17.951748,1.332889,Arthropoda
0.637770,0.299200,Arthropoda
2.354629,0.198994,Arthropoda
21.128628,0.860316,Arthropoda
8.460597,0.003290,Arthropoda
14.137996,0.131958,Arthropoda
9.354912,0.003768,Arthropoda
8.109893,0.088441,Arthropoda
5.856240,0.222788,Arthropoda
8.713124,0.815230,Arthropoda
8.724513,0.139546,Arthropoda
10.472757,0.031249,Arthropoda
21.009784,0.785658,Arthropoda
8.300563,0.027517,Arthropoda
10.631102,0.496520,Arthropoda
30.670548,2.132775,Arthropoda
2.354629,0.198994,Arthropoda
8.181785,0.048087,Arthropoda
40.537739,5.666574,Arthropoda
16.624305,1.570679,Arthropoda
20.202760,0.984129,Arthropoda
9.902727,0.257229,Arthropoda
2.876515,0.275302,Arthropoda
22.917595,0.306242,Arthropoda
0.664503,0.244848,Arthropoda
9.011477,0.141804,Arthropoda
9.795111,0.117799,Arthropoda
9.517327,0.136096,Arthropoda
34.434568,2.390948,Arthropoda
26.774210,2.492777,Arthropoda
27.504737,1.832931,Arthropoda
7.651173,0.104612,Arthropoda
0.618716,0.284072,Arthropoda
10.170058,0.177423,Arthropoda
23.478882,0.503775,Arthropoda
26.923646,1.432198,Arthropoda
9.666408,0.008398,Arthropoda
0.599408,0.465435,Arthropoda
7.409573,0.174574,Arthropoda
2.628198,0.018704,Arthropoda
14.594711,0.647475,Arthropoda
9.567695,0.002517,Arthropoda
5.568458,0.007291,Arthropoda
0.485903,0.419596,Arthropoda
7.104703,0.002920,Arthropoda
5.285853,0.002331,Arthropoda
16.314181,0.329479,Arthropoda
12.868680,1.172595,Arthropoda
14.679766,0.124152,Arthropoda
9.397645,0.049066,Arthropoda
13.689886,0.016535,Arthropoda
26.900542,2.494949,Arthropoda
8.744326,0.148837,Arthropoda
14.217167,0.286725,Arthropoda
2.597395,0.044789,Arthropoda
27.607876,1.605150,Arthropoda
5.613521,0.161318,Arthropoda
9.451170,0.049220,Arthropoda
14.251813,0.467534,Arthropoda
11.202762,0.195312,Arthropoda
40.595019,5.751296,Arthropoda
14.801520,0.070005,Arthropoda
5.400552,0.261971,Arthropoda
14.108140,0.161823,Arthropoda
7.797532,0.007966,Arthropoda
2.597395,0.044789,Arthropoda
14.071812,0.398856,Arthropoda
27.066851,1.453461,Arthropoda
10.421183,0.466870,Arthropoda
8.309348,0.007777,Arthropoda
0.619810,0.279230,Arthropoda
27.831863,1.841153,Arthropoda
9.801211,0.086490,Arthropoda
6.961124,0.255906,Arthropoda
38.998294,4.042152,Arthropoda
23.478817,0.504276,Arthropoda
7.735429,0.121166,Arthropoda
0.553631,0.444826,Arthropoda
2.597395,0.044789,Arthropoda
6.445481,0.202975,Arthropoda
6.063553,0.140568,Arthropoda
9.142055,0.415558,Arthropoda
14.675940,0.550838,Arthropoda
15.535474,0.379163,Arthropoda
1.798868,0.229502,Arthropoda
8.118521,0.085438,Arthropoda
22.588647,0.138221,Arthropoda
10.480946,0.067301,Arthropoda
28.423328,0.045091,Arthropoda
13.094855,0.504953,Arthropoda
7.726450,0.057640,Arthropoda
13.166875,0.420400,Arthropoda
1.800728,0.229194,Arthropoda
10.479346,0.042931,Arthropoda
8.823906,0.109328,Arthropoda
14.594711,0.647475,Arthropoda
10.421183,0.466870,Arthropoda
7.800535,0.004505,Arthropoda
12.672865,1.142779,Arthropoda
0.541322,0.326128,Arthropoda
2.354629,0.198994,Arthropoda
27.202481,1.441223,Arthropoda
9.557323,0.030303,Arthropoda
28.334330,0.001272,Arthropoda
10.655646,0.176540,Arthropoda
9.362598,0.120848,Arthropoda
23.435370,0.477689,Arthropoda
6.980754,0.074167,Arthropoda
7.767428,0.166311,Arthropoda
5.404169,0.047838,Arthropoda
26.691360,2.470079,Arthropoda
7.874466,0.002050,Arthropoda
7.873658,0.016332,Arthropoda
3.763574,0.671595,Arthropoda
7.104631,0.029362,Arthropoda
6.085281,0.169158,Arthropoda
9.429880,0.020175,Arthropoda
9.511339,0.005015,Arthropoda
8.354469,0.049256,Arthropoda
8.229692,0.274074,Arthropoda
8.460177,0.006178,Arthropoda
2.110399,0.147194,Arthropoda
15.183468,0.022565,Arthropoda
7.197463,0.131827,Arthropoda
10.616369,0.360218,Arthropoda
5.666003,0.008212,Arthropoda
1.339098,1.280002,Arthropoda
16.678640,1.497128,Arthropoda
8.126930,0.065393,Arthropoda
1.383699,1.255262,Arthropoda
9.810828,0.003819,Arthropoda
14.867864,0.193613,Arthropoda
16.905538,0.921454,Arthropoda
9.463310,0.002090,Arthropoda
8.189457,0.276113,Arthropoda
8.116329,0.088833,Arthropoda
5.557390,0.011430,Arthropoda
6.988199,0.072709,Arthropoda
27.986537,1.211686,Arthropoda
8.203908,0.166171,Arthropoda
26.687741,2.469470,Arthropoda
14.490851,0.136935,Arthropoda
7.332336,0.196244,Arthropoda
5.447051,0.381815,Arthropoda
16.657619,1.443650,Arthropoda
6.953134,0.232696,Arthropoda
10.487787,0.067700,Arthropoda
7.295782,0.717596,Arthropoda
6.209610,0.050927,Arthropoda
27.781524,1.254489,Arthropoda
5.402611,0.047403,Arthropoda
28.333095,0.008956,Arthropoda
26.894428,2.492383,Arthropoda
15.399475,0.236075,Arthropoda
8.217115,0.166032,Arthropoda
5.612785,0.159372,Arthropoda
5.973707,0.029000,Arthropoda
15.534611,0.378975,Arthropoda
9.353304,0.113536,Arthropoda
10.414934,0.059001,Arthropoda
9.942494,0.005199,Arthropoda
15.816052,0.408300,Arthropoda
7.639284,0.166907,Arthropoda
10.158031,0.015032,Arthropoda
10.104649,0.048648,Arthropoda
32.060219,2.590708,Arthropoda
12.704124,1.124633,Arthropoda
7.820149,0.013678,Arthropoda
9.318185,0.103248,Arthropoda
8.119491,0.080478,Arthropoda
7.634759,0.095259,Arthropoda
14.845796,0.318044,Arthropoda
8.742520,0.732414,Arthropoda
8.730770,0.219063,Arthropoda
27.579188,2.471394,Arthropoda
10.250718,0.018340,Arthropoda
6.927891,0.082561,Arthropoda
13.697410,0.003061,Arthropoda
7.278737,0.483383,Arthropoda
27.615810,1.589651,Arthropoda
9.567695,0.002517,Arthropoda
14.217167,0.286725,Arthropoda
15.816052,0.408300,Arthropoda
8.593441,0.954239,Arthropoda
8.461895,0.009716,Arthropoda
6.998888,0.189326,Arthropoda
8.356472,0.013220,Arthropoda
8.593441,0.954239,Arthropoda
13.085592,0.507961,Arthropoda
14.361563,0.642934,Arthropoda
14.681357,0.124130,Arthropoda
6.511345,0.302053,Arthropoda
15.723935,0.444478,Arthropoda
14.421143,0.121674,Arthropoda
27.569809,1.954655,Arthropoda
7.889889,0.552770,Arthropoda
7.557291,0.002464,Arthropoda
8.307059,0.012774,Arthropoda
14.975140,0.216965,Arthropoda
9.011016,0.155643,Arthropoda
26.937347,1.425381,Arthropoda
10.230952,0.007097,Arthropoda
28.380927,0.012058,Arthropoda
8.143357,0.034144,Arthropoda
28.344714,0.012814,Arthropoda
14.681357,0.124130,Arthropoda
10.494631,0.068802,Arthropoda
28.629158,2.083669,Arthropoda
10.450305,0.040098,Arthropoda
9.493716,0.046186,Arthropoda
6.958746,0.246430,Arthropoda
15.613858,0.473949,Arthropoda
8.617375,0.276494,Arthropoda
16.250754,2.121055,Arthropoda
14.413833,0.107897,Arthropoda
9.470045,0.004663,Arthropoda
32.060219,2.590708,Arthropoda
4.954730,0.252266,Cnidaria
6.066709,0.142599,Arthropoda
9.463310,0.002090,Arthropoda
9.996491,0.007079,Arthropoda
29.901794,1.728802,Arthropoda
5.023110,0.180543,Cnidaria
9.930780,0.120593,Arthropoda
3.523160,0.391838,Cnidaria
27.814533,1.264644,Arthropoda
7.008360,0.166414,Arthropoda
4.962649,0.247625,Cnidaria
8.354142,0.049382,Arthropoda
27.768450,2.421365,Arthropoda
4.894405,0.319312,Cnidaria
15.814161,0.277885,Arthropoda
5.592187,0.708673,Cnidaria
27.435360,2.126555,Arthropoda
4.139917,0.472186,Cnidaria
14.108140,0.161823,Arthropoda
15.393352,0.230274,Arthropoda
4.954730,0.252266,Cnidaria
14.372787,0.616158,Arthropoda
9.855213,0.045045,Arthropoda
4.713053,0.538766,Cnidaria
15.537204,0.379629,Arthropoda
14.974163,0.210759,Arthropoda
4.922437,0.292346,Cnidaria
14.145442,0.218774,Arthropoda
5.530013,0.628862,Cnidaria
9.513041,0.008679,Arthropoda
5.375760,0.454980,Cnidaria
10.250924,0.002537,Arthropoda
3.523160,0.391838,Cnidaria
8.206501,0.147315,Arthropoda
5.199191,0.174178,Cnidaria
40.568419,5.689223,Arthropoda
5.023110,0.180543,Cnidaria
4.993311,0.204163,Cnidaria
7.553692,0.007664,Arthropoda
4.724296,0.499065,Cnidaria
8.211354,0.149946,Arthropoda
4.834258,0.386371,Cnidaria
9.228600,0.007908,Arthropoda
4.960847,0.243538,Cnidaria
28.480157,2.105095,Arthropoda
27.679578,1.714701,Arthropoda
4.746316,0.480520,Cnidaria
15.401217,0.237524,Arthropoda
4.800251,0.422260,Cnidaria
32.177843,2.471499,Arthropoda
4.922437,0.292346,Cnidaria
13.082878,0.513513,Arthropoda
4.193505,0.524861,Cnidaria
5.100375,0.040820,Cnidaria
4.840279,0.377565,Cnidaria
27.572929,1.953174,Arthropoda
27.831863,1.841153,Arthropoda
15.110431,0.043332,Arthropoda
14.684124,0.575656,Arthropoda
5.051180,0.153954,Cnidaria
8.084093,0.097158,Arthropoda
4.888348,0.328158,Cnidaria
4.792251,0.427111,Cnidaria
4.304252,0.582084,Cnidaria
4.922437,0.292346,Cnidaria
5.291327,0.008085,Arthropoda
14.884437,0.455849,Arthropoda
4.241008,0.540266,Cnidaria
4.862267,0.359428,Cnidaria
4.304252,0.582084,Cnidaria
4.746316,0.480520,Cnidaria
4.298024,0.568590,Cnidaria
3.758397,0.205634,Cnidaria
5.893471,0.003368,Arthropoda
10.100045,0.055813,Arthropoda
26.478792,2.224750,Arthropoda
8.097316,0.052539,Arthropoda
14.679766,0.124152,Arthropoda
27.968229,0.540433,Arthropoda
9.812723,0.004609,Arthropoda
6.955228,0.262550,Arthropoda
15.818741,0.400470,Arthropoda
15.108769,0.060289,Arthropoda
5.194549,0.190681,Cnidaria
27.619712,1.568379,Arthropoda
8.006992,0.130740,Arthropoda
4.719875,0.467749,Cnidaria
3.925387,0.164760,Cnidaria
4.704755,0.490858,Cnidaria
26.475370,2.224198,Arthropoda
14.632792,0.006857,Arthropoda
26.687741,2.469470,Arthropoda
7.813765,0.018431,Arthropoda
15.921683,0.386710,Arthropoda
23.435247,0.477469,Arthropoda
9.362598,0.120848,Arthropoda
10.616369,0.360218,Arthropoda
14.675940,0.550838,Arthropoda
7.811884,0.037248,Arthropoda
6.894630,0.145749,Arthropoda
32.026207,2.543903,Arthropoda
2.354629,0.198994,Arthropoda
5.651820,0.049001,Arthropoda
23.336514,0.361174,Arthropoda
5.385366,0.038318,Arthropoda
27.986537,1.211686,Arthropoda
2.354629,0.198994,Arthropoda
19.283121,0.273641,Arthropoda
4.743875,0.449304,Cnidaria
20.204643,0.985802,Arthropoda
13.085592,0.507961,Arthropoda
10.954692,0.337630,Arthropoda
5.252997,0.048752,Arthropoda
27.807929,1.932097,Arthropoda
4.707420,0.482494,Cnidaria
21.324476,0.267252,Arthropoda
21.174835,1.100003,Arthropoda
2.354629,0.198994,Arthropoda
4.732327,0.494111,Cnidaria
14.258738,0.544026,Arthropoda
9.636127,0.209852,Arthropoda
4.696848,0.497455,Cnidaria
14.618993,0.004604,Arthropoda
23.336106,0.361035,Arthropoda
3.523160,0.391838,Cnidaria
8.190331,0.003277,Arthropoda
5.252997,0.048752,Arthropoda
21.369711,0.197618,Arthropoda
2.354629,0.198994,Arthropoda
20.665808,1.052032,Arthropoda
20.200739,0.982336,Arthropoda
4.848262,0.372875,Cnidaria
16.337565,0.353331,Arthropoda
9.944515,0.229034,Arthropoda
4.713603,0.475471,Cnidaria
24.355474,1.700610,Arthropoda
9.872117,1.090222,Arthropoda
22.525437,0.179224,Arthropoda
23.957081,0.716557,Arthropoda
3.521838,0.384754,Cnidaria
27.770214,2.417018,Arthropoda
4.854287,0.364017,Cnidaria
2.354629,0.198994,Arthropoda
19.649343,0.566364,Arthropoda
8.484364,0.324890,Arthropoda
4.721346,0.465614,Cnidaria
14.637197,0.004829,Arthropoda
6.105453,0.667199,Arthropoda
16.922093,0.939283,Arthropoda
21.211995,1.050888,Arthropoda
24.118090,0.800917,Arthropoda
2.354629,0.198994,Arthropoda
4.709128,0.482708,Cnidaria
6.445610,0.178098,Arthropoda
22.588920,0.138223,Arthropoda
4.834258,0.386371,Cnidaria
6.547784,0.347401,Arthropoda
10.485700,0.541439,Arthropoda
17.949589,1.354795,Arthropoda
23.336759,0.361287,Arthropoda
4.730268,0.490447,Cnidaria
28.246239,0.089916,Arthropoda
2.354629,0.198994,Arthropoda
4.272630,0.560673,Cnidaria
8.823076,0.821911,Arthropoda
19.649343,0.566364,Arthropoda
9.919712,0.275268,Arthropoda
4.704755,0.490858,Cnidaria
14.930804,0.211710,Arthropoda
2.354629,0.198994,Arthropoda
10.774148,0.463231,Arthropoda
40.547917,5.671748,Arthropoda
9.651529,0.039491,Arthropoda
2.455581,0.158195,Arthropoda
4.105403,0.435933,Cnidaria
24.833600,0.451347,Arthropoda
10.910379,0.348068,Arthropoda
9.213396,0.279514,Arthropoda
4.704755,0.490858,Cnidaria
28.480157,2.105095,Arthropoda
2.354629,0.198994,Arthropoda
4.792251,0.427111,Cnidaria
10.009624,0.033973,Arthropoda
9.231488,0.015057,Arthropoda
10.691781,0.261448,Arthropoda
6.079840,0.171207,Arthropoda
4.714250,0.500977,Cnidaria
2.354629,0.198994,Arthropoda
14.722914,0.015896,Arthropoda
5.564277,0.678846,Cnidaria
10.009624,0.033973,Arthropoda
14.080206,0.365914,Arthropoda
10.505708,0.283401,Arthropoda
2.110399,0.147194,Arthropoda
